Borough,Neighborhood,Latitude,Longitude
Etobicoke,"Kingsway Park South West, Mimico NW, Royal York South West, South of Bloor, The Queensway West",43.6288408,-79.52099940000001
Queen's Park,Queen's Park,43.6678556,-79.53224240000002
Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.55472440000001
Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.57720079999999
North York,Humber Summit,43.7563033,-79.56596329999999
North York,"Emery, Humberlea",43.7247659,-79.53224240000002
York,Weston,43.706876,-79.51818840000001
Etobicoke,Westmount,43.696319,-79.53224240000002
Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001
Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.739416399999996,-79.5884369
Etobicoke,Northwest,43.706748299999994,-79.5940544
